,X,Y,Z
771,168.67,42.157,
772,169.054,42.552,
773,169.378,42.998,
774,169.633,43.486,
775,169.816,44.006,
776,169.921,44.547,
777,169.948,44.986,
778,169.953,46.344,
779,169.946,47.523,
780,169.903,48.072,
781,169.781,48.609,
782,169.582,49.123,
783,169.311,49.603,
784,168.974,50.039,
785,168.577,50.421,
786,168.129,50.742,
787,167.639,50.994,
788,167.118,51.174,
789,166.577,51.276,
790,166.146,51.3,
791,163.68,51.3,
792,163.13,51.26,
793,162.592,51.141,
794,162.077,50.945,
795,161.596,50.677,
796,161.158,50.343,
797,160.774,49.948,
798,160.45,49.502,
799,160.195,49.014,
800,160.012,48.494,
801,159.907,47.953,
802,159.88,47.521,
803,159.871,45.863,
804,159.876,44.979,
805,159.919,44.429,
806,160.041,43.892,
807,160.441,43.955,
808,160.638,43.472,
809,160.908,43.026,
810,161.242,42.626,
811,161.633,42.282,
812,162.072,42.002,
813,162.55,41.792,
814,163.053,41.658,
815,163.676,41.6,
816,166.148,41.6,
817,166.668,41.64,
818,167.175,41.759,
819,167.658,41.954,
820,168.106,42.22,
821,168.508,42.552,
822,168.854,42.942,
823,169.137,43.38,
824,169.35,43.855,
825,169.487,44.358,
826,169.548,44.987,
827,169.553,46.341,
828,169.546,47.52,
829,169.503,48.04,
830,169.381,48.546,
831,169.183,49.028,
832,168.914,49.475,
833,168.58,49.874,
834,168.188,50.218,
835,167.749,50.499,
836,167.272,50.708,
837,166.768,50.843,
838,166.146,50.9,
839,163.68,50.9,
840,163.16,50.86,
841,162.653,50.741,
842,162.17,50.546,
843,161.722,50.28,
844,161.32,49.948,
845,160.974,49.558,
846,160.691,49.12,
847,160.478,48.645,
848,160.341,48.142,
849,160.28,47.519,
850,160.271,45.865,
851,160.276,44.981,
852,160.319,44.461,
853,160.441,43.955,
854,160.84,44.021,
855,161.037,43.573,
856,161.304,43.163,
857,161.635,42.802,
858,162.019,42.499,
859,162.448,42.263,
860,162.909,42.1,
861,163.676,42,
862,166.148,42,
863,166.636,42.04,
864,167.111,42.159,
865,167.56,42.353,
866,167.972,42.618,
867,168.335,42.946,
868,168.64,43.329,
869,168.878,43.757,
870,169.044,44.217,
871,169.148,44.989,
872,169.153,46.339,
873,169.146,47.518,
874,169.103,48.005,
875,168.982,48.48,
876,168.785,48.928,
877,168.517,49.338,
878,168.187,49.699,
879,167.802,50.001,
880,167.373,50.237,
881,166.912,50.401,
882,166.146,50.5,
883,163.68,50.5,
884,163.192,50.46,
885,162.717,50.341,
886,162.268,50.147,
887,161.856,49.882,
888,161.493,49.554,
889,161.188,49.171,
890,160.95,48.743,
891,160.784,48.283,
892,160.68,47.517,
893,160.671,45.867,
894,160.676,44.983,
895,160.719,44.495,
896,160.84,44.021,
897,161.24,44.092,
898,161.435,43.681,
899,161.7,43.31,
900,162.025,42.991,
901,162.401,42.734,
902,162.817,42.546,
903,163.258,42.434,
904,163.676,42.4,
905,166.148,42.4,
906,166.602,42.44,
907,167.042,42.558,
908,167.454,42.752,
909,167.827,43.015,
910,168.148,43.338,
911,168.407,43.713,
912,168.597,44.127,
913,168.712,44.568,
914,168.748,44.99,
915,168.753,46.336,
916,168.746,47.515,
917,168.703,47.969,
918,168.582,48.408,
919,168.386,48.82,
920,168.121,49.19,
921,167.796,49.509,
922,167.42,49.767,
923,167.005,49.954,
924,166.563,50.066,
925,166.146,50.1,
926,163.68,50.1,
927,163.226,50.06,
928,162.786,49.942,
929,162.374,49.748,
930,162.001,49.485,
931,161.68,49.162,
932,161.421,48.787,
933,161.231,48.373,
934,161.116,47.932,
935,161.08,47.514,
936,161.071,45.869,
937,161.076,44.985,
938,161.119,44.532,
939,161.24,44.092,
940,161.639,44.169,
941,161.833,43.798,
942,162.095,43.471,
943,162.413,43.198,
944,162.778,42.992,
945,163.175,42.858,
946,163.676,42.8,
947,166.148,42.8,
948,166.565,42.84,
949,166.967,42.958,
950,167.339,43.151,
951,167.668,43.41,
952,167.942,43.727,
953,168.151,44.09,
954,168.287,44.487,
955,168.348,44.992,
956,168.353,46.334,
957,168.346,47.513,
958,168.304,47.93,
959,168.183,48.331,
960,167.988,48.702,
961,167.727,49.03,
962,167.408,49.302,
963,167.044,49.509,
964,166.646,49.642,
965,166.146,49.7,
966,163.68,49.7,
967,163.263,49.66,
968,162.861,49.542,
969,162.489,49.349,
970,162.16,49.09,
971,161.886,48.773,
972,161.677,48.41,
973,161.541,48.013,
974,161.48,47.512,
975,161.471,45.872,
976,161.476,44.988,
977,161.518,44.571,
978,161.639,44.169,
979,161.918,44.613,
980,162.038,44.254,
981,162.231,43.927,
982,162.487,43.649,
983,162.796,43.43,
984,163.145,43.28,
985,163.676,43.2,
986,166.148,43.2,
987,166.525,43.24,
988,166.885,43.358,
